[2019-05-29 11:46:49] main.ERROR: Error: Application is not installed yet.  [] []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["DB_DDL"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["COMPILED_CONFIG"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["CUSTOMER_NOTIFICATION"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["INTEGRATION_API_CONFIG"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["WEBSERVICE"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["TRANSLATE"],"mode":"matchingTag"}} []
[2019-05-29 11:52:49] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://13.233.115.29/setup/index.php/install/start","invalidateInfo":{"tags":["VERTEX"],"mode":"matchingTag"}} []
[2019-06-22 04:56:39] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 05:23:18] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/cache/index/key/ccbc10c071c9255a34806145028e6dde62510b8dfbc05cbcdf7f8d7e6b7ff5b1/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 05:23:41] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/cache/index/key/ccbc10c071c9255a34806145028e6dde62510b8dfbc05cbcdf7f8d7e6b7ff5b1/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:19:04] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/cache/index/key/ccbc10c071c9255a34806145028e6dde62510b8dfbc05cbcdf7f8d7e6b7ff5b1/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:19:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/cache/index/key/ccbc10c071c9255a34806145028e6dde62510b8dfbc05cbcdf7f8d7e6b7ff5b1/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:32:21] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/cache/index/key/ccbc10c071c9255a34806145028e6dde62510b8dfbc05cbcdf7f8d7e6b7ff5b1/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:32:40] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/cache/index/key/ccbc10c071c9255a34806145028e6dde62510b8dfbc05cbcdf7f8d7e6b7ff5b1/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:49:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/c8d51f746123b69efaa269f2d40fdab3fcaf63f9204be14d70703d76ac1db24b/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:50:41] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:50:55] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:54:12] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:54:16] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/system_config/edit/key/289dd7ce02f24016b0a7c7a8d31c1f03b52600aeb4776fc6605af603ed579804/section/blacknwhite_general/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:54:28] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/system_config/edit/key/289dd7ce02f24016b0a7c7a8d31c1f03b52600aeb4776fc6605af603ed579804/section/blacknwhite_general/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:54:29] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/admin/system_config/edit/key/289dd7ce02f24016b0a7c7a8d31c1f03b52600aeb4776fc6605af603ed579804/section/blacknwhite_general/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 06:57:20] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/c8d51f746123b69efaa269f2d40fdab3fcaf63f9204be14d70703d76ac1db24b/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:00:02] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:00:26] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:02:27] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/c8d51f746123b69efaa269f2d40fdab3fcaf63f9204be14d70703d76ac1db24b/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:03:18] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/c8d51f746123b69efaa269f2d40fdab3fcaf63f9204be14d70703d76ac1db24b/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:04:37] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/c8d51f746123b69efaa269f2d40fdab3fcaf63f9204be14d70703d76ac1db24b/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:53:21] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:53:45] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:58:09] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/d0b7abd7cda7d183fe41d164c794a941270a7151b9bfd97dfc79571548fe61f3/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 07:59:59] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/admin123/theme/design_config/index/key/d0b7abd7cda7d183fe41d164c794a941270a7151b9bfd97dfc79571548fe61f3/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 08:07:36] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 08:08:46] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 10:54:15] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-06-22 10:54:29] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://13.233.115.29/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
